index,dist_m,segment_dist_m,speed_m_s,target_m_s,pwm_l,pwm_r,angle_err_deg,angle_err_rad,radius_m
221,2.293,0.010000000000000231,0.74,0.9,536,9,-0.265,-0.0046251225177849735,-2.162104887286175
222,2.304,0.010999999999999677,0.747,0.9,499,41,-0.343,-0.005986479334340551,-1.8374739785536063
223,2.314,0.010000000000000231,0.744,0.9,610,1,-0.095,-0.0016580627893946131,-6.031134685587752
224,2.325,0.01100000000000012,0.743,0.9,328,270,-0.752,-0.013124875974997358,-0.8381031577711602
225,2.335,0.009999999999999787,0.743,0.9,449,27,-0.271,-0.0047298422729046335,-2.114235406386756
226,2.345,0.010000000000000231,0.745,0.9,168,381,-0.196,-0.003420845333908886,-2.923254056789982
227,2.356,0.010999999999999677,0.757,0.9,543,22,0.349,0.0060911990894602095,1.8058841680340605
228,2.366,0.010000000000000231,0.75,0.9,442,139,-0.152,-0.0026529004630313807,-3.7694591784923452
229,2.377,0.010999999999999677,0.75,0.9,452,130,0.129,0.0022514747350726853,4.885686625146411
230,2.388,0.01100000000000012,0.757,0.9,424,128,-0.173,-0.00301941960595019,-3.643084246496604
231,2.398,0.010000000000000231,0.756,0.9,425,66,-0.114,-0.0019896753472735357,-5.025945571323127
232,2.409,0.010999999999999677,0.752,0.9,443,126,0.014,0.0002443460952792061,45.01811247456336
233,2.419,0.010000000000000231,0.744,0.9,523,170,-0.269,-0.004694935687864747,-2.129954628739169
234,2.43,0.01100000000000012,0.757,0.9,305,317,-0.172,-0.0030019663134302466,-3.6642649688599565
235,2.44,0.009999999999999787,0.741,0.9,536,25,-0.14,-0.0024434609527920616,-4.092555679505793
236,2.451,0.01100000000000012,0.753,0.9,470,174,-0.057,-0.0009948376736367678,-11.057080256910744
237,2.461,0.009999999999999787,0.758,0.9,459,99,0.074,0.0012915436464758037,7.742672907173123
238,2.472,0.01100000000000012,0.759,0.9,729,164,0.172,0.0030019663134302466,3.6642649688599565
239,2.482,0.010000000000000231,0.753,0.9,428,188,-0.123,-0.0021467549799530253,-4.658193456348264
240,2.493,0.010999999999999677,0.752,0.9,407,122,-0.1,-0.0017453292519943296,-6.30253574643887
241,2.504,0.01100000000000012,0.762,0.9,383,189,0.063,0.0010995574287564276,10.004024994347816
242,2.514,0.009999999999999787,0.767,0.9,252,274,-0.031,-0.0005410520681182421,-18.482509520348742
243,2.525,0.01100000000000012,0.763,0.9,211,377,-0.257,-0.004485496177625427,-2.4523485394704765
244,2.535,0.010000000000000231,0.775,0.9,179,354,0.067,0.0011693705988362008,8.551608882549798
245,2.545,0.009999999999999787,0.769,0.9,400,185,0.022,0.0003839724354387525,26.04353614230959
246,2.555,0.010000000000000231,0.772,0.9,553,8,0.033,0.0005759586531581288,17.36235742820716
247,2.566,0.010999999999999677,0.77,0.9,365,165,0.044,0.000767944870877505,14.32394487827016
248,2.576,0.010000000000000231,0.785,0.9,517,2,0.012,0.00020943951023931956,47.7464829275697
249,2.586,0.009999999999999787,0.774,0.9,329,192,-0.146,-0.002548180707911721,-3.924368459800075
250,2.596,0.010000000000000231,0.774,0.9,356,226,-0.066,-0.0011519173063162576,-8.68117871410358
251,2.606,0.009999999999999787,0.781,0.9,276,266,0.184,0.0032114058236695662,3.1139010604935384
252,2.616,0.010000000000000231,0.777,0.9,283,260,-0.276,-0.00481710873550435,-2.0759340403291175
253,2.627,0.010999999999999677,0.775,0.9,322,232,0.03,0.0005235987755982988,21.00845248812957
254,2.637,0.010000000000000231,0.776,0.9,157,402,0.203,0.003543018381548489,2.822452192762741
255,2.647,0.009999999999999787,0.777,0.9,575,24,0.028,0.0004886921905584122,20.462778397528965
256,2.657,0.010000000000000231,0.788,0.9,301,254,-0.222,-0.0038746309394274117,-2.5808909690578217
257,2.667,0.009999999999999787,0.779,0.9,301,219,0.153,0.002670353755551324,3.744822190397458
258,2.677,0.010000000000000231,0.781,0.9,585,17,0.033,0.0005759586531581288,17.36235742820716
259,2.687,0.009999999999999787,0.772,0.9,450,164,-0.081,-0.001413716694115407,-7.073553026306308
260,2.697,0.010000000000000231,0.779,0.9,320,228,-0.146,-0.002548180707911721,-3.9243684598002497
261,2.707,0.009999999999999787,0.777,0.9,298,250,0.122,0.002129301687433082,4.696375369924681
262,2.718,0.01100000000000012,0.777,0.9,356,122,0.191,0.0033335788713091696,3.299756935308442
263,2.728,0.010000000000000231,0.788,0.9,363,90,-0.436,-0.007609635538695277,-1.3141233833276065
264,2.738,0.009999999999999787,0.775,0.9,515,25,-0.319,-0.005567600313861911,-1.7961059408489373
265,2.748,0.010000000000000231,0.785,0.9,543,27,-0.207,-0.003612831551628262,-2.767912053772157
266,2.758,0.009999999999999787,0.784,0.9,691,190,-0.642,-0.011205013797803596,-0.8924576248143474
